Time 	 T[0]	T[1]	T[2]	T[3]	T[4]	T[5]	T[6]	T[7]	T[8]	T[9]	T[10]	T[11]	T[12]	T[13]	T[14]	T[15]	T[16]	T[17]	T[18]	T[19]	
1.275000e-02 	3.768326e+02 	3.060822e+02 	3.003322e+02 	3.000140e+02 	3.000005e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	2.999990e+02 	2.999732e+02 	2.994714e+02 	2.930851e+02 	
5.050000e-02 	4.255668e+02 	3.189396e+02 	3.019895e+02 	3.001605e+02 	3.000105e+02 	3.000006e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	2.999992e+02 	2.999870e+02 	2.998297e+02 	2.983214e+02 	2.886990e+02 	
1.132500e-01 	4.574719e+02 	3.339603e+02 	3.051916e+02 	3.006131e+02 	3.000590e+02 	3.000048e+02 	3.000003e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	2.999996e+02 	2.999953e+02 	2.999483e+02 	2.995467e+02 	2.969710e+02 	2.858275e+02 	
2.010000e-01 	4.790979e+02 	3.489585e+02 	3.096826e+02 	3.014920e+02 	3.001880e+02 	3.000200e+02 	3.000019e+02 	3.000002e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	2.999999e+02 	2.999984e+02 	2.999844e+02 	2.998717e+02 	2.991465e+02 	2.956200e+02 	2.838812e+02 	
3.137500e-01 	4.943020e+02 	3.629869e+02 	3.150886e+02 	3.028439e+02 	3.004406e+02 	3.000579e+02 	3.000066e+02 	3.000007e+02 	3.000001e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	2.999995e+02 	2.999953e+02 	2.999627e+02 	2.997526e+02 	2.986627e+02 	2.943553e+02 	2.825128e+02 	
4.515000e-01 	5.053911e+02 	3.757134e+02 	3.210606e+02 	3.046577e+02 	3.008514e+02 	3.001324e+02 	3.000179e+02 	3.000021e+02 	3.000002e+02 	3.000000e+02 	3.000000e+02 	3.000000e+02 	2.999998e+02 	2.999986e+02 	2.999889e+02 	2.999269e+02 	2.995917e+02 	2.981267e+02 	2.932075e+02 	2.815148e+02 	
6.142500e-01 	5.137691e+02 	3.870986e+02 	3.273198e+02 	3.068863e+02 	3.014434e+02 	3.002583e+02 	3.000403e+02 	3.000056e+02 	3.000007e+02 	3.000001e+02 	3.000000e+02 	2.999999e+02 	2.999996e+02 	2.999967e+02 	2.999781e+02 	2.998750e+02 	2.993932e+02 	2.975640e+02 	2.921805e+02 	2.807608e+02 	
8.020000e-01 	5.203074e+02 	3.972317e+02 	3.336614e+02 	3.094651e+02 	3.022271e+02 	3.004492e+02 	3.000791e+02 	3.000124e+02 	3.000017e+02 	3.000002e+02 	3.000000e+02 	2.999999e+02 	2.999990e+02 	2.999934e+02 	2.999616e+02 	2.998058e+02 	2.991628e+02 	2.969933e+02 	2.912664e+02 	2.801723e+02 	
1.014750e+00 	5.255593e+02 	4.062479e+02 	3.399437e+02 	3.123248e+02 	3.032027e+02 	3.007163e+02 	3.001403e+02 	3.000244e+02 	3.000038e+02 	3.000005e+02 	3.000000e+02 	2.999997e+02 	2.999980e+02 	2.999882e+02 	2.999383e+02 	2.997194e+02 	2.989068e+02 	2.964275e+02 	2.904530e+02 	2.796997e+02 	
1.252500e+00 	5.298843e+02 	4.142904e+02 	3.460740e+02 	3.153984e+02 	3.043621e+02 	3.010680e+02 	3.002297e+02 	3.000440e+02 	3.000076e+02 	3.000012e+02 	3.000001e+02 	2.999994e+02 	2.999963e+02 	2.999804e+02 	2.999074e+02 	2.996163e+02 	2.986312e+02 	2.958751e+02 	2.897276e+02 	2.793104e+02 	
1.515250e+00 	5.335220e+02 	4.214928e+02 	3.519954e+02 	3.186263e+02 	3.056918e+02 	3.015096e+02 	3.003528e+02 	3.000735e+02 	3.000138e+02 	3.000023e+02 	3.000002e+02 	2.999989e+02 	2.999938e+02 	2.999698e+02 	2.998685e+02 	2.994978e+02 	2.983414e+02 	2.953413e+02 	2.890779e+02 	2.789830e+02 	
1.803000e+00 	5.366364e+02 	4.279729e+02 	3.576763e+02 	3.219570e+02 	3.071748e+02 	3.020436e+02 	3.005144e+02 	3.001158e+02 	3.000235e+02 	3.000043e+02 	3.000004e+02 	2.999982e+02 	2.999902e+02 	2.999556e+02 	2.998213e+02 	2.993654e+02 	2.980420e+02 	2.948292e+02 	2.884935e+02 	2.787027e+02 	
2.115750e+00 	5.393426e+02 	4.338321e+02 	3.631021e+02 	3.253477e+02 	3.087927e+02 	3.026699e+02 	3.007186e+02 	3.001733e+02 	3.000378e+02 	3.000074e+02 	3.000008e+02 	2.999971e+02 	2.999853e+02 	2.999377e+02 	2.997657e+02 	2.992207e+02 	2.977371e+02 	2.943399e+02 	2.879652e+02 	2.784592e+02 	
